id,aspect_class,sentiment_class,comment_text
316,,,jelek bgt menurut gua ini game gak jelas jenis dan alurnya
317,,,good
318,,,rahmad nama bapaknya teman ku bang
319,,,di miawaug dapet keris di sini kok dptnya pisau buah
320,,,semangat bang windah basudara
321,,,wow paramex bro
322,,,yg nonton kumpul
324,,,itu ejaan dahulu
325,,,surat fatir ayat
326,,,teruslah main game horror bang gua seneng banget kalau bang windah main game horror hawanya kerasa banget sama gamenya kalau bang windah yang main dibawa seru aja sama gemenya apalagi nuansa nya indonesia
327,,,curang bjir
328,,,yg selalu mnta spill jumscare tu makan jumscare anjir
329,,,pppppppp kania
330,,,ini panutan aku paling aku cinta
331,,,kena tuyulbg
332,,,main berjam jam gak ada god ending nya what a game
333,,,bang gw telat ga
334,,,bang ini game nya lucu apa serem si gua sampek tantrum jir sama ketawa terbahak bahak
335,,,game nya mirip jurnal lisa bang persis banget gamenya
336,,,bg windah saya ijin buat ngelivein vidio abg di live saya karna saya main game saya tiba2 ngebug kuncinya gak bisa diambil jadi saya ingin melihat ending nya dari vidio abg terimakasih bang saya jadi tau ending nya
337,,,bang tainya siapa
338,,,bang kapan live lagi
339,,,gak nyangka good ending nya se sad ini join discordku motionime join instagram ekspedisi naik gunung motionime follow instagram ku festival motionimefest toko top up game ku windah topup
340,,,ilham pasti isi hati paling dalam kan bang
341,,,oppa gannam style
342,,,elitis momen
343,,,elitis momen wok
344,,,minum
345,,,bgus jg
346,,,sedih banget endingnya terharu
347,,,bang itu foto ai bang liat dari fotonya aja ai bukan foto beneran wkwk
348,,,pertama kali nya bang windah nangis dengan game horror ini
349,,,the real game berkualitas
350,,,mirip
351,,,bang windah nangis beneran
352,,,bangg windahhhhh emang best sih emang nemenin ramadhan terusss bisa menemani kegabutan ku lucu and keren bgt
353,,,nangis gua good ending nya memberikan pelajaran yang sangat berharga
354,,,terima kasih bang windah
355,,,sesosok anomali
356,,,ortu kulit putih kok anak kulit hitam
357,,,demi alek klepon gue ampe terbang cokkkk
358,,,meninggal gua
359,,,ilham mulu bang ah
360,,,deyytak nyambung lahhh
361,,,bingung ya bang
362,,,doksli wkwk
363,,,bang main horor kocak bocil jelek
364,,,bang windah tidak boleh gitu jorok nanti akibatnya bang windah
365,,,bang windah janti horor lagi bola basket bilang nya kocak
366,,,bang windah main apa horor ka serem banget aku seneng
367,,,gak nyangka sebagus ini game nya guys join discordku join discord gta rp ku imeroleplay instagram imeroleplay tiktok imeroleplay follow instagram ku festival motionimefest toko top up game ku windah topup
368,,,kget
370,,,bang aku nonton pake oc sekolah
371,,,nail hadir
373,,,yah bad ending
374,,,go vegan
375,,,windah
376,,,kaget nya gak seberapa tapi triakanya bg windah yang bikin kaget
377,,,takuttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt
378,,,papi yesus
379,,,ilham kau siapa
380,,,padahal ini bukan kisah nyata gambarnya aj udah jelas ii ai bgt
381,,,ada plot wist sebenarnya game ending ini di buat sm fans nya di buat vedeo mcnya selamat kbur pake mobil gua uda tonton vedeony ternyata dr game ini
382,,,perkara wortellll
383,,,akbarrrr
384,,,kagettttt
385,,,ke banyakan ngomong anjurr dari awal edann lima menit udh absi makan gua
386,,,bang gw kaget bukan karna game nya gw kaget karna lu bang
387,,,the real senam jantung
388,,,lucu bgt
389,,,bang kaget sampe makanan ku keluar lgi
390,,,bang kmu ganteng
391,,,lu live dimna jam berapa gue pengen ikut
392,,,jadi detektif jarang foto ya bang wkwk
393,,,absen bang
394,,,horror ter gg bang
395,,,baru ni
